CIKKSZAM;MEGN;MENYEGY;BESZAR;ELADAR;AFASZAZ;AKTKESZ;TORT
5000106;APENTA 1,5L MEGGY;DB;135,25;219;25;0;HAMIS
5000101;APENTA 1,5L NARANCS;DB;142,18;219;25;2;HAMIS
5000085;APENTA 1,5L SZOLO;DB;142,97;219;25;6;HAMIS
8000032;AQUA SOFTY WC PAPIR 4 2R;DB;108,8;199;25;0;HAMIS
8000030;AQUA SOFTY WC PAPIR 8 3R;DB;319,16;499;25;0;HAMIS
7300020;AQUAFRESH 100ML FRESHMINT;DB;328,84;499;25;0;HAMIS
7300027;AQUAFRESH 300ML SZAJVIZ M;DB;409,9;649;25;1;HAMIS
7300025;AQUAFRESH 300ML SZAJVIZ O;DB;349,17;569;25;0;HAMIS
7300003;AQUAFRESH 50ML GYEREK;DB;268,59;399;25;0;HAMIS
7300083;AQUAFRESH 75ML FRISS KEK;DB;255,17;399;25;0;HAMIS
7300092;AQUAFRESH 75ML HERBAL;DB;241,74;399;25;0;HAMIS
7300075;AQUAFRESH 75ML ICE WHITE;DB;238,48;449;25;17;HAMIS
7300047;AQUAFRESH 75ML MULTI ACT3;DB;249,84;549;25;1;HAMIS
7300013;AQUAFRESH 75ML WHITE&SHIN;DB;449,35;699;25;0;HAMIS
5000032;AQUAREL 0,5L MENTES;DB;65,89;99;25;0;HAMIS
5000044;AQUAREL 1,5L DUS;DB;70,12;119;25;89;HAMIS
5000093;AQUAREL 1,5L ENYHE;DB;72,3;119;25;9;HAMIS
5000043;AQUAREL 1,5L MENTES;DB;71,92;119;25;8;HAMIS
5000079;AQUARIUS 1,5L DUS;DB;38,5;69;25;0;HAMIS
5000082;AQUARIUS 1,5L MENTES;DB;38,5;69;25;0;HAMIS
5000113;AQUARIUS 2L MENTES;DB;35;59;25;0;HAMIS
5000112;AQUARIUS 2L SZENSAVAS;DB;35;59;25;-6;HAMIS
5000073;AQUASOL 1,5L CITROMIZU;DB;49,45;79;25;0;HAMIS
5000102;AQUASOL ASVANYVIZ 2L;DB;42,13;65;25;48;HAMIS
4000300;ARABELLE 80G NUGAT;DB;41,17;65;25;39;HAMIS
4000171;ARABELLE 100G TEJCSOKI;DB;71,14;109;25;2;HAMIS
4000302;ARABELLE 100G CARAMEL;DB;66,76;109;25;4;HAMIS
4000301;ARABELLE 100G EPRES TEJ;DB;72,12;109;25;0;HAMIS
4000260;ARABELLE 100G MAZS-MOGY;DB;82,33;129;25;2;HAMIS
4000261;ARABELLE 100G TORTMOGY;DB;75,38;119;25;-2;HAMIS
1310008;ARANY ASZOK 0,5L DOB;DB;96,48;209;25;38;HAMIS
1310001;ARANY ASZOK 0,5L PAL;DB;105,19;169;25;15;HAMIS
1310002;ARANY ASZOK 0,5L PAL A.M;DB;108,08;159;25;21;HAMIS
1310026;ARANY ASZOK 1,5L PET;DB;311,85;519;25;4;HAMIS
1310023;ARANY ASZOK FELB 0,5L DO;DB;123;189;25;3;HAMIS
1310024;ARANY ASZOK FELB 0,5L PA;DB;113,5;169;25;20;HAMIS
1330005;ARANY FACAN 0,5L DOBOZ;DB;193;299;25;6;HAMIS
1600012;ARANY FEKETE 1KG;DB;608,96;899;25;5;HAMIS
1600068;ARANY FEKETE 250G;DB;174,75;259;25;21;HAMIS
2070025;ARANYGALUSKA TESZTA 250G;DB;201,78;319;18;2;HAMIS
6020002;ARIEL 400G;DB;242,32;399;25;0;HAMIS
6020004;ARIEL 400G COLOR;DB;252;399;25;7;HAMIS
6020003;ARIEL 400G MOUNT;DB;252;399;25;5;HAMIS
6025003;ARIEL.10KG PROFI;DB;4223;5990;25;0;HAMIS
6020025;ARIEL 2KG COLOR;DB;1094,83;1649;25;8;HAMIS
6020026;ARIEL 2KG MOUNTAN;DB;1082,25;1649;25;6;HAMIS
6020027;ARIEL 2KG REGULAR;DB;1153,42;1649;25;0;HAMIS
6020018;ARIEL 2KG WHITE;DB;1097,35;1649;25;8;HAMIS
6020017;ARIEL 3KG COLOR;DB;1480;2290;25;2;HAMIS
6020020;ARIEL 3KG MOUNTAIN;DB;1583,33;2290;25;0;HAMIS
6020023;ARIEL 3KG REGULAR;DB;1250;2290;25;0;HAMIS
6020012;ARIEL 3KG WHITE FRESH;DB;1533,72;2290;25;6;HAMIS
6020005;ARIEL 4,75KG DOBOZ;DB;2250;3390;25;0;HAMIS
6020029;ARIEL 4KG COLOR;DB;2000;2799;25;0;HAMIS
6020030;ARIEL 4KG LENOR;DB;1999;2799;25;0;HAMIS
6020028;ARIEL 4KG MOUNTAIN;DB;1949,26;2799;25;0;HAMIS
6020024;ARIEL 4KG WHITE;DB;1920;2599;25;0;HAMIS
6020011;ARIEL 5KG COLOR;DB;2083,33;3199;25;0;HAMIS
6020009;ARIEL 5KG COMPACT;DB;2083,33;3199;25;0;HAMIS
6020010;ARIEL 6KG COLOR;DB;2791,67;4499;25;0;HAMIS
6020015;ARIEL 6KG MOUNTAIN;DB;2791,67;4499;25;0;HAMIS
6020016;ARIEL 6KG REGULAR;DB;3165,4;4499;25;0;HAMIS
6020007;ARIEL 6KG WHITE FLOWER;DB;2791,67;3999;25;0;HAMIS
6020006;ARIEL FOLT 1L;DB;688,41;1099;25;0;HAMIS
6025002;ARIEL FOLT 2L FOLYEKONY;DB;1193,36;1790;25;0;HAMIS
6025000;ARIEL FOLT 500G POR;DB;1193,36;1790;25;4;HAMIS
6025001;ARIEL FOLT 500G SPRAY;DB;1193,36;1790;25;3;HAMIS
6020033;ARIEL GEL 1,275L;DB;1040;1599;25;-1;HAMIS
6020008;ARIEL GEL 1,35L;DB;1040;1599;25;1;HAMIS
6020032;ARIEL GEL 1,35L SENSITIV;DB;1040;1599;25;0;HAMIS
6020014;ARIEL GEL 1,5L;DB;1146;1649;25;4;HAMIS
6020021;ARIEL GEL 1,5L COLOR;DB;1140,74;1649;25;4;HAMIS
